DisplayName,CmeSymbol,Side,FilledQty,RemainingQty,AvgPrice,Time,OrderType,Contract Type
ArtArtArtArt,CL,Sell,1,0,72.53,2025-02-20 15:30:40 -0600,MKT,Future
ArtArtArtArt,CL,Buy,1,0,75.82,2025-01-21 18:36:38 -0600,LMT,Future
ArtArtArtArt,ETH,Buy,1,0,3338.0,2025-01-21 18:39:06 -0600,LMT,Future
Jordan Belfort,ES,Buy,5,0,6134.75,2025-01-23 13:34:41 -0600,LMT,Future
Jordan Belfort,ES,Sell,5,0,6134.75,2025-01-23 13:41:00 -0600,MKT,Future
Jordan Belfort,ES,Buy,3,0,6134.5,2025-01-23 13:55:50 -0600,MKT,Future
Jordan Belfort,ES,Sell,3,0,6136.25,2025-01-23 13:58:57 -0600,LMT,Future
Dani Nikolov,GC,Buy,5,0,2744.3,2025-01-21 00:11:07 -0600,MKT,Future
Dani Nikolov,GC,Sell,5,0,2747.9,2025-01-21 08:40:50 -0600,LMT,Future
Dani Nikolov,GC,Buy,7,0,2754.0,2025-01-21 10:13:28 -0600,MKT,Future
Dani Nikolov,GC,Sell,7,0,2761.3,2025-01-21 11:08:49 -0600,LMT,Future
Dani Nikolov,GC,Sell,8,0,2757.7,2025-01-21 11:46:39 -0600,MKT,Future
Dani Nikolov,GC,Buy,8,0,2756.6,2025-01-21 11:57:15 -0600,MKT,Future
Dani Nikolov,ES,Buy,5,0,6082.0,2025-01-21 12:00:24 -0600,MKT,Future
Dani Nikolov,ES,Sell,5,0,6085.3,2025-01-21 12:19:30 -0600,MKT,Future
Dani Nikolov,GC,Buy,6,0,2759.8,2025-01-21 12:33:18 -0600,MKT,Future
Dani Nikolov,GC,Sell,6,0,2761.1,2025-01-21 12:46:58 -0600,MKT,Future
Dani Nikolov,GC,Buy,8,0,2763.2,2025-01-21 19:45:53 -0600,MKT,Future
Dani Nikolov,GC,Sell,8,0,2762.1,2025-01-21 19:57:50 -0600,MKT,Future
Dani Nikolov,GC,Sell,8,0,2762.0,2025-01-21 19:58:13 -0600,MKT,Future
Dani Nikolov,GC,Buy,8,0,2763.8,2025-01-21 20:05:47 -0600,MKT,Future
Dani Nikolov,GC,Buy,8,0,2764.6,2025-01-21 20:13:28 -0600,MKT,Future
Dani Nikolov,GC,Sell,8,0,2768.4,2025-01-21 22:55:30 -0600,MKT,Future
Dani Nikolov,GC,Buy,8,0,2768.7,2025-01-21 23:33:21 -0600,MKT,Future
